order_id,order_date,customer_id,product_id,quantity,unit_price,selling_centre_id,selling_centre_postal_code,customer_postal_code,selling_customer_care_id,total_price
ORD100000,2025-03-16,CUST9647,PROD793,35,926.42,CENTRE14,560060,110099,CARE195,32424.7
ORD100001,2023-09-23,CUST7934,PROD633,15,50.29,CENTRE14,560053,110071,CARE173,754.35
ORD100002,2023-06-26,CUST2821,PROD944,6,108.97,CENTRE13,560083,110009,CARE125,653.82
ORD100003,2024-03-08,CUST5720,PROD738,29,848.89,CENTRE18,560091,110084,CARE116,24617.81
ORD100004,2024-02-06,CUST4893,PROD506,20,616.32,CENTRE10,560095,110007,CARE128,12326.4
ORD100005,2024-01-15,CUST5934,PROD698,24,779.89,CENTRE11,560051,110067,CARE165,18717.36
ORD100006,2023-10-21,CUST2996,PROD204,27,25.47,CENTRE19,560001,110027,CARE116,687.69
ORD100007,2023-09-13,CUST1782,PROD107,17,492.1,CENTRE1,560048,110047,CARE118,8365.7
ORD100008,2025-04-23,CUST4906,PROD623,10,16.29,CENTRE19,560029,110069,CARE128,162.9
ORD100009,2024-12-10,CUST7878,PROD778,20,187.62,CENTRE2,560065,110026,CARE184,3752.4
ORD100010,2023-08-29,CUST8489,PROD963,1,98.25,CENTRE5,560037,110021,CARE110,98.25
ORD100011,2025-01-25,CUST2029,PROD959,1,655.24,CENTRE5,560035,110069,CARE195,655.24
ORD100012,2024-08-06,CUST2816,PROD483,34,888.05,CENTRE11,560085,110051,CARE112,30193.7
ORD100013,2023-07-03,CUST9189,PROD674,49,422.06,CENTRE19,560034,110092,CARE191,20680.94
ORD100014,2023-07-01,CUST9782,PROD762,9,809.34,CENTRE20,560040,110030,CARE151,7284.06
ORD100015,2023-09-04,CUST1269,PROD708,23,774.84,CENTRE20,560054,110038,CARE136,17821.32
ORD100016,2024-01-10,CUST9443,PROD723,19,695.43,CENTRE19,560087,110021,CARE178,13213.17
ORD100017,2024-01-25,CUST4963,PROD389,31,214.1,CENTRE13,560031,110048,CARE113,6637.1
ORD100018,2024-10-30,CUST3352,PROD405,35,643.43,CENTRE13,560001,110043,CARE131,22520.05
ORD100019,2025-02-06,CUST5772,PROD800,1,527.86,CENTRE7,560054,110053,CARE128,527.86
ORD100020,2023-06-28,CUST8032,PROD210,45,417.91,CENTRE13,560005,110028,CARE132,18805.95
ORD100021,2024-12-26,CUST1025,PROD593,32,938.71,CENTRE3,560002,110071,CARE123,30038.72
